# Thx to Kaido Järvemets for the Defender Scid Explorer
# SRC: https://docs.kaidojarvemets.com/defender-scid-explorer
SCID,Platform,Configuration Name,Function,Compliant Value,Non-Compliant Value,Cross-Platform SCIDs,Description
"scid-15","Windows","Enable Automatic Updates","Microsoft Office","Enabled","Disabled","","Controls whether the Office automatic updates are enabled or disabled for all Office products installed by using Click-to-Run. This policy has no effect on Office products installed via Windows Installer."
"scid-16","Windows","Enable 'Hide Option to Enable or Disable Updates'","Microsoft Office","Enabled","Disabled","","Controls whether to hide the user interface (UI) options to enable or disable Office automatic updates from users."
"scid-19","Windows","Disable 'Continue running background apps when Google Chrome is closed'","Google Chrome","Disabled","Enabled","","Chrome allows for processes started while the browser is open to remain running once the browser has been closed. It also allows for background apps and the current browsing session to remain active after the browser has been closed. Disabling this feature will stop all processes and background applications when the browser window is closed."
"scid-22","Windows","Disable 'Password Manager'","Google Chrome","Disabled","Enabled","","If this setting is enabled, Chrome will memorize passwords and automatically provide them when a user logs into a site. By disabling this feature the user will be prompted to enter their password each time they visit a website."
"scid-23","Windows","Enable 'Block third party cookies'","Google Chrome","Enabled","Disabled","","Chrome allows cookies to be set by web page elements that are not from the domain in the user's address bar. Enabling this feature prevents third party cookies from being set."
"scid-24","Windows","Set 'Remote Desktop security level' to 'TLS'","Network","Configured","Not Configured","","Determines the method used by the server and client for authentication prior to a remote desktop connection being established."
"scid-25","Windows","Enable 'Local Security Authority (LSA) protection'","OS","Enabled","Disabled","","Forces LSA to run as Protected Process Light (PPL)."
"scid-26","Windows","Enable 'Safe DLL Search Mode'","OS","Enabled","Disabled","","Determines whether an application searches for DLLs in the system path before searching the current working directory ."
"scid-27","Windows","Set User Account Control (UAC) to automatically deny elevation requests","OS","Configured","Not Configured","","Determines the behavior of the elevation prompt for standard users."
"scid-28","Windows","Set 'Interactive logon: Machine inactivity limit' to '1-900 seconds'","OS","Configured","Not Configured","","Determines the amount of inactivity time (in seconds) of a logon session, beyond which the screen saver will run, locking the session. This security control is only applicable for machines with Windows 10, version 1709 or later."
"scid-29","Windows","Disable 'Enumerate administrator accounts on elevation'","OS","Disabled","Enabled","","Determines whether the user needs to provide both the administrator username and password to elevate a running application, or if the system displays a list of administrator accounts to choose from."
"scid-30","Windows","Disable 'Insecure guest logons' in SMB","OS","Disabled","Enabled","","Determines whether insecure guest logons are used by file servers to allow unauthenticated access to shared folders."
"scid-32","Windows","Set 'Minimum password length' to '14 or more characters'","Accounts","Configured","Not Configured","","Determines the minimum password length. This security control is only assessed for machines with Windows 10, version 1709 or later."
"scid-33","Windows","Set 'Enforce password history' to '24 or more password(s)'","Accounts","Configured","Not Configured","","Determines the number of unique new passwords that are required before an old password can be reused in association with a user account. This security control is only assessed for machines with Windows 10, version 1709 or later."
"scid-34","Windows","Set 'Maximum password age' to '60 or fewer days, but not 0'","Accounts","Configured","Not Configured","","Determines the period of time (in days) that a password can be used before the system requires the user to change it. This security control is only assessed for machines with Windows 10, version 1709 or later."
"scid-35","Windows","Set 'Minimum password age' to '1 or more day(s)'","Accounts","Configured","Not Configured","","Determines the number of days that you must use a password before you can change it. This security control is only assessed for machines with Windows 10, version 1709 or later."
"scid-36","Windows","Enable 'Domain member: Require strong (Windows 2000 or later) session key'","OS","Enabled","Disabled","","When this policy setting is enabled, a secure channel can only be established with Domain controllers that are capable of encrypting secure channel data with a strong (128-bit) session key."
"scid-37","Windows","Enable 'Domain member: Digitally encrypt or sign secure channel data (always)'","OS","Enabled","Disabled","","Determines whether all secure channel traffic that is initiated by the domain member must be signed or encrypted."
"scid-38","Windows","Enable Set 'Domain member: Digitally encrypt secure channel data (when possible)'","OS","Enabled","Disabled","","Determines whether a domain member should attempt to negotiate encryption for all secure channel traffic that it initiates."
"scid-39","Windows","Enable 'Domain member: Digitally sign secure channel data (when possible)'","OS","Enabled","Disabled","","Determines whether a domain member should attempt to negotiate whether all secure channel traffic that it initiates must be digitally signed. Digital signatures protect the traffic from being modified by anyone who captures the data as it traverses the network."
"scid-40","Windows","Disable 'Domain member: Disable machine account password changes'","Accounts","Disabled","Enabled","","Determines whether automatic password changes are enforced on computer accounts."
"scid-41","Windows","Set 'Account lockout duration' to 15 minutes or more","Accounts","Configured","Not Configured","","Determines the length of time that must pass before a locked account is unlocked and a user can try to log on again. If configured to 0, accounts will remain locked out until an administrator manually unlocks them. This security control is only assessed for machines with Windows 10, version 1709 or later."
"scid-42","Windows","Set 'Reset account lockout counter after' to 15 minutes or more","Accounts","Configured","Not Configured","","Determines the length of time before the 'Account lockout threshold' counter resets to zero after a failed logon attempt. This reset time must be less than or equal to the value of the 'Account lockout duration' setting. This security control is only assessed for machines with Windows 10, version 1709 or later."
"scid-43","Windows","Disable Microsoft Defender Firewall notifications when programs are blocked for Domain profile","Firewall","Disabled","Enabled","","Determines whether Microsoft Defender Firewall with Advanced Security display notifications to the user when a program is blocked from receiving inbound connections."
"scid-44","Windows","Set 'Account lockout threshold' to 1-10 invalid login attempts","Accounts","Configured","Not Configured","","Determines the number of failed logon attempts before the account is locked. The number of failed logon attempts should be reasonably small to minimize the possibility of a successful password attack, while still allowing for honest errors made during a legitimate user logon. This security control is only assessed for machines with Windows 10, version 1709 or later."
"scid-45","Windows","Set user authentication for remote connections by using Network Level Authentication to 'Enabled'","Network","Configured","Not Configured","","Determines whether to require user authentication for remote connections to the RD Session Host server by using Network Level Authentication."
"scid-46","Windows","Disable Microsoft Defender Firewall notifications when programs are blocked for Private profile","Firewall","Disabled","Enabled","","Determines whether Microsoft Defender Firewall with Advanced Security display notifications to the user when a program is blocked from receiving inbound connections."
"scid-49","Windows","Disable Microsoft Defender Firewall notifications when programs are blocked for Public profile","Firewall","Disabled","Enabled","","Determines whether Microsoft Defender Firewall with Advanced Security display notifications to the user when a program is blocked from receiving inbound connections."
"scid-50","Windows","Disable merging of local Microsoft Defender Firewall rules with group policy firewall rules for the Public profile","Firewall","Disabled","Enabled","","Controls whether local administrators are allowed to create local firewall rules that apply together with firewall rules configured by Group Policy. This recommendation is not applicable to Azure virtual machines."
"scid-51","Windows","Disable merging of local Microsoft Defender Firewall connection rules with group policy firewall rules for the Public profile","Firewall","Disabled","Enabled","","Controls whether local administrators are allowed to create connection security rules that apply together with connection security rules configured by Group Policy. This recommendation is not applicable to Azure virtual machines."
"scid-52","Windows","Enable 'Apply UAC restrictions to local accounts on network logons'","OS","Enabled","Disabled","","With User Account Control enabled, filtering the privileged token for built-in administrator accounts will prevent the elevated privileges of these accounts from being used over the network. This recommendation is not applicable for organizations which use local password management solution (like LAPS) to protect local accounts for remote administration and support."
"scid-53","Windows","Disable SMBv1 client driver","Network","Disabled","Enabled","","Disabling SMBv1 support may prevent access to file or print sharing resources with systems or devices that only support SMBv1."
"scid-54","Windows","Disable SMBv1 server","Network","Disabled","Enabled","","Disabling SMBv1 support may prevent access to file or print sharing resources with systems or devices that only support SMBv1."
"scid-55","Windows","Disable 'Network access: Let Everyone permissions apply to anonymous users'","Network","Disabled","Enabled","","Determines whether anonymous network users have the same rights and permissions as the built-in 'Everyone' group.. This security control is only assessed for machines on Windows 10, version 1709 or later."
"scid-57","Windows","Disable 'WDigest Authentication'","OS","Disabled","Enabled","","When the WDigest Authentication protocol is enabled, plain text passwords are stored in the Local Security Authority Subsystem Service (LSASS) exposing them to theft."
"scid-58","Windows","Disable 'Installation and configuration of Network Bridge on your DNS domain network'","Network","Disabled","Enabled","","Determines whether a user can install and configure the Network Bridge. The Network Bridge allows users to create a layer 2 MAC bridge, enabling them to connect two or more network segments together."
"scid-59","Windows","Enable 'Require domain users to elevate when setting a network's location'","Network","Enabled","Disabled","","Determines whether to require domain users to elevate when setting a network's location."
"scid-60","Windows","Prohibit use of Internet Connection Sharing on your DNS domain network","Network","Restricted","Allowed","","Determines whether an existing internet connection, such as through wireless, can be shared and used by other systems essentially creating a mobile hotspot."
"scid-61","Windows","Set 'Minimum PIN length for startup' to '6 or more characters'","OS","Configured","Not Configured","","Determines the minimum PIN length for authentication without sending a password to a network where it could be compromised."
"scid-62","Windows","Enable 'Require additional authentication at startup'","OS","Enabled","Disabled","","Determines whether BitLocker requires additional authentication each time the computer starts, and whether you are using BitLocker with or without a Trusted Platform Module (TPM)."
"scid-63","Windows","Disable 'Configure Offer Remote Assistance'","OS","Disabled","Enabled","","Determines whether unsolicited offers of help to this computer via Remote Assistance are allowed. Help desk and support personnel will not be able to proactively offer assistance, although they can still respond to user assistance requests."
"scid-64","Windows","Restrict anonymous access to named pipes and Shares","Network","Restricted","Allowed","","Determines whether anonymous access is restricted to only shares and pipes that are named."
"scid-65","Windows","Disable 'Store LAN Manager hash value on next password change'","Network","Disabled","Enabled","","Controls whether or not a LAN Manager hash of the password is stored in the SAM the next time the password is changed."
"scid-66","Windows","Disable 'Always install with elevated privileges'","OS","Disabled","Enabled","","Determines whether Windows Installer always elevates privileges when installing applications."
"scid-67","Windows","Disable 'Autoplay for non-volume devices'","OS","Disabled","Enabled","","Determines whether autoplay for non-volume devices (such as Media Transfer Protocol (MTP) devices) is enabled or disabled."
"scid-68","Windows","Disable 'Anonymous enumeration of SAM accounts'","OS","Disabled","Enabled","","Controls the ability of anonymous users to enumerate the accounts in the Security Accounts Manager (SAM). If you enable this policy setting, users with anonymous connections will not be able to enumerate domain account user names on the systems in your environment."
"scid-69","Windows","Disable 'Autoplay' for all drives","OS","Disabled","Enabled","","Determines whether Autoplay is enabled on the device. Autoplay starts to read from a drive as soon as you insert media in the drive, which causes the setup file for programs or audio media to start immediately"
"scid-70","Windows","Set default behavior for 'AutoRun' to 'Enabled: Do not execute any autorun commands'","OS","Configured","Not Configured","","Determines whether Autorun commands are allowed to execute. Autorun commands are generally stored in autorun.inf files. They often launch the installation program or other routines."
"scid-71","Windows","Enable 'Limit local account use of blank passwords to console logon only'","Accounts","Enabled","Disabled","","Determines whether local accounts that are not password protected can be used to log on from locations other than the physical computer console. By enabling this configuration, local accounts that have blank passwords will not be able to log on to the network from remote client computers. Such accounts will only be able to log on at the keyboard of the computer."
"scid-72","Windows","Set LAN Manager authentication level to 'Send NTLMv2 response only. Refuse LM & NTLM'","Network","Configured","Not Configured","","Determines which challenge/response authentication protocol is used for network logons. This choice affects the level of authentication protocol used by clients, the level of session security negotiated, and the level of authentication accepted by servers."
"scid-73","Windows","Disable 'Allow Basic authentication' for WinRM Client","OS","Disabled","Enabled","","Determines whether the Windows Remote Management (WinRM) client uses Basic authentication."
"scid-74","Windows","Disable 'Allow Basic authentication' for WinRM Service","OS","Disabled","Enabled","","Determines whether the Windows Remote Management (WinRM) service accepts Basic authentication."
"scid-80","Windows","Block Flash activation in Office documents","Microsoft Office","Blocked","Allowed","","Determines whether Flash can be used in office documents."
"scid-81","Windows","Set IPv6 source routing to highest protection","Network","Configured","Not Configured","","Determines whether IPv6 source routing is enabled."
"scid-82","Windows","Disable IP source routing","Network","Disabled","Enabled","","Determines whether IP source routing is enabled."
"scid-83","Windows","Enable Explorer Data Execution Prevention (DEP)","OS","Enabled","Disabled","","Determines whether Data Execution Prevention can be turned off for File Explorer."
"scid-87","Windows","Disable Solicited Remote Assistance","OS","Disabled","Enabled","","Remote assistance allows another user to view or take control of the local session of a user. Solicited assistance is help that is specifically requested by the local user."
"scid-88","Windows","Disable Anonymous enumeration of shares","OS","Disabled","Enabled","","Determines whether anonymous logon users (null session connections) are allowed to list all account names and enumerate all shared resources"
"scid-89","Windows","Enable scanning of removable drives during a full scan","Antivirus","Enabled","Disabled","","This setting controls whether or not to scan for malicious software and unwanted software in the contents of removable drives, such as USB flash drives, when running a full scan. This security control is only applicable for machines with Windows 10, version 1709 or later."
"scid-90","Windows","Enable Microsoft Defender Antivirus email scanning","Antivirus","Enabled","Disabled","","Determines whether Microsoft Defender Antivirus analyzes the mail bodies and attachments and scans them for malicious content. MDMWinsOverGP configuration is not supported."
"scid-91","Windows","Enable Microsoft Defender Antivirus real-time behavior monitoring","Antivirus","Enabled","Disabled","","Determines whether Microsoft Defender Antivirus monitors file processes, file and registry changes, and other events on your endpoints for suspicious and known malicious activity."
"scid-92","Windows","Enable Microsoft Defender Antivirus scanning of downloaded files and attachments","Antivirus","Enabled","Disabled","","Determines whether Microsoft Defender Antivirus scans all downloaded files and attachments for malicious code."
"scid-93","Windows","Disable the local storage of passwords and credentials","Accounts","Disabled","Enabled","","Determines whether Credential Manager saves passwords or credentials locally for later use when it gains domain authentication."
"scid-94","Windows","Disable sending unencrypted password to third-party SMB servers","Network","Disabled","Enabled","","Determines whether the SMB redirector will send unencrypted (plain text) passwords when authenticating to third-party SMB servers that do not support password encryption."
"scid-95","Windows","Enable 'Microsoft network client: Digitally sign communications (always)'","Network","Enabled","Disabled","","Determines whether packet signing is required by the SMB client component. If this is enabled, the SMB client will only communicate with an SMB server that performs SMB packet signing."
"scid-96","Windows","Enable 'Network Protection'","Network","Enabled","Disabled","","Network protection helps reduce the attack surface of your devices from Internet-based events. It prevents employees from using any application to access dangerous domains that may host phishing scams, exploits, and other malicious content on the Internet. It expands the scope of Windows Defender SmartScreen to block all outbound HTTP(s) traffic that attempts to connect to low-reputation sources (based on the domain or hostname) This security control is only assessed for machines with Windows..."
"scid-97","Windows","Disable JavaScript on Adobe DC","Adobe Acrobat","Disabled","Enabled","","Determines whether to globally disable and lock JavaScript execution in Adobe DC"
"scid-102","Windows","Enable 'Local Security Authority (LSA) protection' on Windows 11 22h2 and higher","OS","Enabled","Disabled","","Forces LSA to run as Protected Process Light (PPL). Set value to 1 to enable LSA protection with a UEFI variable, Set value to 2 to enable LSA protection without a UEFI variable, only enforced on Windows 11 version 22H2 and later."
"scid-103","Windows","Require LDAP client signing to prevent tampering and protect directory authentication","Network","Configured","Not Configured","","Enforcing LDAP client signing requires all LDAP requests from clients to be cryptographically signed. This ensures the integrity and authenticity of LDAP traffic, confirming it hasn’t been altered in transit and that it originates from a trusted source. Without this setting, attackers can perform man-in-the-middle attacks and inject or manipulate LDAP communications, potentially leading to privilege escalation or unauthorized actions. Note on productivity impact: Some environments may still r..."
"scid-104","Windows","Encrypt LDAP client traffic to protect sensitive data in transit","Network","Encrypted","Not Encrypted","","Enabling LDAP client confidentiality ensures that data exchanged between clients and Active Directory servers is encrypted and sealed. This protects sensitive directory information, such as usernames, group membership, and credentials, from being exposed over the network. While attackers can observe encrypted traffic, they cannot read or manipulate it, significantly reducing the risk of data leakage. Note on productivity impact: Some environments may still rely on LDAP for certain processes. ..."
"scid-105","Windows","Enforce LDAP channel binding to protect authentication sessions from interception","Network","Configured","Not Configured","","Channel binding ties the LDAP authentication layer to the underlying secure TLS channel, protecting against attacks that spoof or hijack sessions. It ensures that both ends of the connection verify the security context and that the client is communicating with the intended server. This setting helps enforce session integrity, particularly for LDAPS connections, by mitigating credential replay and man-in-the-middle risks. Note on productivity impact: Some environments may still rely on LDAP fo..."
"scid-106","Windows","Require LDAP server signing to ensure integrity of directory traffic","Network","Configured","Not Configured","","This configuration enforces that LDAP servers (e.g., domain controllers) require signed requests from clients. Signing validates the integrity and origin of LDAP traffic, preventing tampering or spoofing of authentication requests. While attackers can still observe traffic, they cannot alter it without detection, reducing the chance of credential tampering or injection attacks. Note on productivity impact: Some environments may still rely on LDAP for certain processes. More details on how to ..."
"scid-108","Windows","Disable Remote Registry Service on Windows","Services","Disabled","Enabled","","The Remote Registry service allows remote users to read and modify registry settings over the network. You can disable this service to reduce the remote attack surface, and to prevent unauthorized configuration changes, privilege escalation, and lateral movement. When Remote Registry is enabled, attackers can remotely connect to the registry of a device and alter security controls, establish persistence, or weaken defenses. Productivity considerations: When you disable Remote Registry, this m..."
"scid-109","Windows","Disable NTLM authentication for Windows workstations","Network","Disabled","Enabled","","NTLM is an outdated and insecure authentication protocol that can be exploited through attacks such as Pass-the-Hash and NTLM relay. Modern alternatives like Kerberos offer stronger security and should be enforced wherever possible. This recommendation identifies systems that still allow NTLM and provides guidance to fully disable NTLM authentication. Without this setting, attackers can bypass password complexity, perform lateral movements using legitimate authentication, potentially resultin..."
"scid-110","Windows","Block file transfer over RDP","Shares","Blocked","Allowed","","Remote Desktop Protocol (RDP) enables remote access to devices, including the ability to transfer files between remote and local machines. Blocking the ability to transfer files over RDP reduces the risk of data exfiltration and prevents attackers from moving malicious files into the environment. Without this setting, attackers can use RDP sessions to bypass security controls and transfer sensitive data or malware."
"scid-111","Windows","SMB server security hardening against authentication relay attacks","Security Control","Compliant","Non-Compliant","","To block credential relay attacks, Extended Protection for Authentication (EPA) enforces SPN validation and channel binding. This ensures that authentication is bound to the correct service, and block attacks. To add integrity and confidentiality, Defender Vulnerability Management uses: * Server Message Block (SMB) signing to verify message authenticity and prevent tampering during transit. * SMB encryption to protect sensitive or untrusted networks, by encrypting SMB traffic end-to-end. With..."
